Unnamed: 0,rir_file,MAT_c,c_125Hz,c_250Hz,c_500Hz,c_1kHz,c_2kHz,c_4kHz,MAT_f,f_125Hz,f_250Hz,f_500Hz,f_1kHz,f_2kHz,f_4kHz,MAT_e,e_125Hz,e_250Hz,e_500Hz,e_1kHz,e_2kHz,e_4kHz,MAT_w,w_125Hz,w_250Hz,w_500Hz,w_1kHz,w_2kHz,w_4kHz,MAT_n,n_125Hz,n_250Hz,n_500Hz,n_1kHz,n_2kHz,n_4kHz,MAT_s,s_125Hz,s_250Hz,s_500Hz,s_1kHz,s_2kHz,s_4kHz,room_x,room_y,room_z,source_x,source_y,source_z,micro_x,micro_y,micro_z
7729,./data/rir_clips/rir_room_train_7729.wav,ceiling_plasterboard,0.2,0.15,0.1,0.08,0.04,0.02,plywood_thin,0.42,0.21,0.1,0.08,0.06,0.06,ceiling_fibre_abosrber,0.48,0.97,1.0,0.97,1.0,1.0,perforated_veneered_chipboard,0.41,0.67,0.58,0.59,0.68,0.35,microperforated_glass_sheets,0.1,0.45,0.85,0.3,0.1,0.05,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,14.008027910450794,6.710421882694289,2.93357358404614,10.666607463498124,3.3512747660465205,0.980482684507652,4.648569862869102,5.343534928707245,1.3237279031001792
3546,./data/rir_clips/rir_room_train_3546.wav,brick_wall_rough,0.03,0.03,0.03,0.04,0.05,0.07,carpet_thin,0.02,0.04,0.08,0.2,0.35,0.4,mineral_wool_50mm_70kgm3,0.7,0.45,0.65,0.6,0.75,0.65,carpet_hairy,0.11,0.14,0.37,0.43,0.27,0.25,rockwool_50mm_40kgm3,0.23,0.59,0.86,0.86,0.86,0.86,glass_window,0.1,0.05,0.04,0.03,0.03,0.03,6.404009977606672,3.4412055628972533,3.767929182241101,0.5072833513387609,0.6112018413735132,2.2558148096839905,5.538187005845109,1.7343329778187793,2.114835584062387
3527,./data/rir_clips/rir_room_train_3527.wav,carpet_thin,0.02,0.04,0.08,0.2,0.35,0.4,hard_surface,0.02,0.02,0.03,0.03,0.04,0.05,ceramic_tiles,0.01,0.01,0.01,0.02,0.02,0.02,perforated_veneered_chipboard,0.41,0.67,0.58,0.59,0.68,0.35,audience_floor,0.09,0.06,0.05,0.05,0.05,0.04,carpet_soft_10mm,0.09,0.08,0.21,0.26,0.27,0.37,8.89424869969182,5.7957643185636485,3.710710034155152,5.889968563662655,2.696649058499585,1.9774640676859636,2.3953420926152287,0.6564761531611168,2.28432380347295
10159,./data/rir_clips/rir_room_train_10159.wav,carpet_hairy,0.11,0.14,0.37,0.43,0.27,0.25,curtains_0.2,0.05,0.06,0.39,0.63,0.7,0.73,double_glazing_10mm,0.1,0.07,0.05,0.03,0.02,0.02,carpet_soft_10mm,0.09,0.08,0.21,0.26,0.27,0.37,curtains_0.2,0.05,0.06,0.39,0.63,0.7,0.73,fibre_absorber_2,0.07,0.07,0.2,0.41,0.75,0.97,15.768780187211524,2.840667822519781,3.4862363711098947,5.853547938972668,0.5134793048357987,0.9105108075465423,14.390222406907132,1.12010092756065,2.0031721745729083
6959,./data/rir_clips/rir_room_train_6959.wav,ceramic_tiles,0.01,0.01,0.01,0.02,0.02,0.02,carpet_cotton,0.07,0.31,0.49,0.81,0.66,0.54,panel_fabric_covered_6pcf,0.46,0.93,1.0,1.0,1.0,1.0,smooth_brickwork_flush_pointing,0.01,0.01,0.02,0.02,0.02,0.02,facing_brick,0.04,0.14,0.49,0.35,0.31,0.36,hanging_absorber_panels_1,0.25,0.45,0.8,0.9,0.85,0.8,15.085209248776552,2.392951399185866,2.536282718522463,7.870161809631182,1.786862700900125,1.2647203903217008,14.075185767799788,0.860957006471017,1.287898911013368
3717,./data/rir_clips/rir_room_train_3717.wav,studio_curtains,0.36,0.26,0.51,0.45,0.62,0.76,gypsum_board,0.3,0.69,1.0,0.81,0.66,0.62,curtains_fabric_folded,0.12,0.6,0.98,1.0,1.0,1.0,facing_brick,0.04,0.14,0.49,0.35,0.31,0.36,carpet_1.35_kg_m2,0.08,0.24,0.57,0.69,0.71,0.73,stage_floor,0.1,0.07,0.06,0.06,0.06,0.06,14.835872091668543,5.915967783620307,3.856182149099105,11.309126456302968,1.0838161098957342,2.1732202955861157,0.7001330816572618,2.7012800210878383,1.6975195490092347
617,./data/rir_clips/rir_room_train_617.wav,fibre_absorber_2,0.07,0.07,0.2,0.41,0.75,0.97,double_glazing_10mm,0.1,0.07,0.05,0.03,0.02,0.02,carpet_rubber_5mm,0.04,0.04,0.08,0.12,0.1,0.1,double_glazing_10mm,0.1,0.07,0.05,0.03,0.02,0.02,double_glazing_10mm,0.1,0.07,0.05,0.03,0.02,0.02,audience_floor,0.09,0.06,0.05,0.05,0.05,0.04,6.120444866767371,2.374896090665401,2.9125960715015373,2.9928999775023755,1.4921402358329194,1.310567234740184,3.4897686547537226,0.6147064736795999,0.7645623114196514
7884,./data/rir_clips/rir_room_train_7884.wav,concrete_floor,0.01,0.03,0.05,0.02,0.02,0.02,carpet_6mm_closed_cell_foam,0.03,0.09,0.25,0.31,0.33,0.44,carpet_6mm_open_cell_foam,0.03,0.09,0.2,0.54,0.7,0.72,mineral_wool_50mm_40kgm3,0.15,0.7,0.6,0.6,0.85,0.9,facing_brick,0.04,0.14,0.49,0.35,0.31,0.36,gypsum_board,0.3,0.69,1.0,0.81,0.66,0.62,9.741538578664462,2.898380499145965,3.730984492294696,9.026089286607505,2.2650219066399275,3.125226399414324,3.898005979565129,2.338680838312348,1.913580735058568
4403,./data/rir_clips/rir_room_train_4403.wav,blinds_half_open,0.03,0.09,0.24,0.46,0.79,0.76,concrete_floor,0.01,0.03,0.05,0.02,0.02,0.02,plywood_thin,0.42,0.21,0.1,0.08,0.06,0.06,glass_3mm,0.08,0.04,0.03,0.03,0.02,0.02,brick_wall_rough,0.03,0.03,0.03,0.04,0.05,0.07,ceiling_fissured_tile,0.49,0.53,0.53,0.75,0.92,0.99,3.645803488279096,4.7918394617370605,3.327576517621233,0.5146846686016191,3.6580997828223514,1.366950762090565,2.184551833793894,0.6654421138478416,2.770653316684543
5828,./data/rir_clips/rir_room_train_5828.wav,curtains_velvet,0.05,0.12,0.35,0.45,0.38,0.36,smooth_brickwork_flush_pointing,0.01,0.01,0.02,0.02,0.02,0.02,felt_5mm,0.02,0.02,0.05,0.15,0.3,0.4,carpet_soft_10mm,0.09,0.08,0.21,0.26,0.27,0.37,fibre_absorber_1,0.2,0.56,0.82,0.87,0.7,0.53,ceiling_perforated_gypsum_board,0.45,0.55,0.6,0.9,0.86,0.75,6.208110755841828,5.977721246133761,3.700188885226991,4.113029504483589,1.893810863994308,3.187282913026297,0.5812298484324341,5.417717716649485,1.3059676407033969
